,index,year,val,Received Array,Z Array,SH Array,SL Array
0,13634,1990,10617.37273708453,0.8743781164590783,-0.2619664892946056,0.0,0
1,13637,1991,10611.37385085417,0.8738840870063274,-0.3043429547533454,0.0,0
2,13640,1992,10605.01251683584,0.8733602086990616,-0.34927977151358774,0.0,0
3,13643,1993,10598.20984118629,0.8727999843508515,-0.3973342500651768,0.0,0
4,13646,1994,10591.64658369515,0.8722594769329576,-0.443697465450481,0.0,0
5,13649,1995,10585.22195567883,0.8717303861415757,-0.4890813945273488,0.0,0
6,13652,1996,10579.2397826843,0.871237733082781,-0.5313397967600697,0.0,0
7,13655,1997,10574.66603643664,0.8708610689373071,-0.5636489942407874,0.0,0
8,13658,1998,10571.15765137894,0.8705721410457724,-0.5884324211144463,0.0,0
9,13661,1999,10568.19329692684,0.8703280159946388,-0.6093727855792984,0.0,0
10,13664,2000,10565.70274335666,0.870122910118302,-0.6269661943033615,0.0,0
11,13667,2001,10562.6799039031,0.869873968620889,-0.6483197000662873,0.0,0
12,13670,2002,10559.68048696008,0.8696269560498833,-0.6695077479140633,0.0,0
13,13673,2003,10557.96731495196,0.8694858702887704,-0.681609690114526,0.0,0
14,13676,2004,10558.37447693765,0.869519401515276,-0.6787334752372797,0.0,0
15,13679,2005,10562.44432260461,0.8698545676695286,-0.6499838594410161,0.0,0
16,13682,2006,10565.97989399609,0.870145734451598,-0.6250083867958285,0.0,0
17,13685,2007,10566.19990281229,0.8701638529540824,-0.6234542323007543,0.0,0
18,13688,2008,10567.49835369112,0.870270784966536,-0.6142819031876998,0.0,0
19,13691,2009,10574.46807358728,0.8708447659979983,-0.5650474148018428,0.0,0
20,13694,2010,10592.7260682304,0.8723483762942263,-0.43607192674801515,0.0,0
21,13697,2011,10625.276435021811,0.8750290138784863,-0.20613432816101462,0.0,0
22,13700,2012,10668.63410954542,0.8785996713963846,0.10014669239283927,0.0,0
23,13703,2013,10719.10052900487,0.8827557591484196,0.4566442819331279,0.0,0
24,13706,2014,10772.51178772287,0.8871543648065249,0.8339443795273086,0.0,0
25,13709,2015,10824.56396205606,0.8914410450689673,1.2016438295551304,0.20164382955513038,0
26,13712,2016,10878.34783641358,0.8958703369400479,1.5815761047188293,0.7832199342739596,0
27,13715,2017,10938.26721843836,0.9008049095213816,2.004849946758301,1.7880698810322606,0
28,13718,2018,11002.34782723894,0.9060821738137896,2.4575189258214394,3.2455888068537,0
29,13721,2019,11068.84958302837,0.9115588281056075,2.92729102166387,5.17287982851757,0
30,13724,2020,11831.64321019126,0.9743775754060646,8.315707563058584,12.488587391576154,0
31,13727,2021,12142.770429892653,1.0,10.513527520407454,22.002114911983607,0
