,index,year,val,Received Array,Z Array,SH Array,SL Array
0,8834,1990,13201.752396303393,0.8285081724122765,-1.9148168272643895,0.0,0.0
1,8837,1991,13233.26464800426,0.8304858006302237,-1.8413934899191517,0.0,0.8413934899191517
2,8840,1992,13285.861075532628,0.8337866177292586,-1.7188441628120927,0.0,1.5602376527312445
3,8843,1993,13353.33834624704,0.8380213184387355,-1.5616225698320003,0.0,2.121860222563245
4,8846,1994,13430.44315541827,0.8428602188068821,-1.3819688761366242,0.0,2.5038290986998692
5,8849,1995,13514.24463573131,0.8481193851065804,-1.1867119831204693,0.0,2.6905410818203386
6,8852,1996,13599.82810724294,0.8534903846104533,-0.9873030624370294,0.0,2.677844144257368
7,8855,1997,13683.131483383271,0.8587182911678528,-0.7932067488378244,0.0,2.4710508930951924
8,8858,1998,13762.26217445781,0.8636843306962296,-0.6088327637516514,0.0,2.0798836568468437
9,8861,1999,13836.335546130802,0.8683329858101061,-0.4362422993103087,0.0,1.5161259561571523
10,8864,2000,13905.425230823808,0.8726688774916961,-0.27526379246019683,0.0,0.7913897486173491
11,8867,2001,13970.94638643501,0.8767808174266533,-0.12259993468964972,0.0,0.0
12,8870,2002,14032.84571487169,0.8806654607631683,0.02162508979899591,0.0,0.0
13,8873,2003,14090.24539432947,0.8842677176527863,0.15536596202682568,0.0,0.0
14,8876,2004,14141.5484526991,0.88748736621557,0.27490174757693053,0.0,0.0
15,8879,2005,14183.99288144892,0.8901510698692184,0.3737969848994343,0.0,0.0
16,8882,2006,14211.54128245703,0.8918799369685969,0.43798457643497124,0.0,0.0
17,8885,2007,14226.2350805927,0.8928020821106758,0.472221028581882,0.0,0.0
18,8888,2008,14236.44154741237,0.8934426138308375,0.49600202854079817,0.0,0.0
19,8891,2009,14250.01952812583,0.8942947331289622,0.5276386334986027,0.0,0.0
20,8894,2010,14274.176845907,0.8958107845291434,0.5839250236188683,0.0,0.0
21,8897,2011,14311.235927216128,0.8981365175685921,0.6702724371421545,0.0,0.0
22,8900,2012,14356.51846016592,0.9009783333738133,0.7757804384167136,0.0,0.0
23,8903,2013,14404.83073121392,0.9040102877833106,0.8883477093545135,0.0,0.0
24,8906,2014,14451.22000728926,0.9069215599528652,0.9964344147671639,0.0,0.0
25,8909,2015,14490.466284386292,0.9093845557988373,1.0878779799618603,0.08787797996186031,0.0
26,8912,2016,14523.426271928189,0.9114530402107034,1.16467453220941,0.2525525121712704,0.0
27,8915,2017,14554.79662083138,0.913421762972463,1.2377672369777353,0.49031974914900567,0.0
28,8918,2018,14583.22970247851,0.9152061503631937,1.3040161285313785,0.7943358776803842,0.0
29,8921,2019,14607.33210146871,0.9167187552006935,1.3601745582331253,1.1545104359135094,0.0
30,8924,2020,15369.748430038191,0.964566051532145,3.1365995443451897,3.2911099802586996,0.0
31,8927,2021,15934.3659313164,1.0,4.452154575477191,6.743264555735891,0.0
