,index,year,val,Received Array,Z Array,SH Array,SL Array
0,7586,1990,15580.47633324743,0.958886402516818,2.232319046089236,0.0,0.0
1,7589,1991,15533.66518231701,0.9560054523357534,2.0072835308689356,1.0072835308689356,0.0
2,7592,1992,15483.57819100178,0.9529228935045664,1.7665000493174707,1.7737835801864064,0.0
3,7595,1993,15434.58398473643,0.9499075891464,1.5309699196242073,2.3047534998106136,0.0
4,7598,1994,15389.59080463858,0.9471385243451041,1.3146739460479637,2.6194274458585776,0.0
5,7601,1995,15346.31544820665,0.9444751814562801,1.1066360760652996,2.7260635219238774,0.0
6,7604,1996,15302.71666190812,0.9417919333672158,0.8970433798239037,2.6231069017477813,0.0
7,7607,1997,15255.65487461058,0.9388955579963645,0.67080297895378,2.293909880701561,0.0
8,7610,1998,15212.44150308675,0.9362360299129588,0.463063089376486,1.7569729700780474,0.0
9,7613,1999,15178.888242707038,0.934171024681408,0.30176230768683576,1.058735277764883,0.0
10,7616,2000,15149.53983963372,0.9323648036108406,0.160675560721051,0.21941083848593412,0.0
11,7619,2001,15128.1886337883,0.9310507628508145,0.05803378600501216,0.0,0.0
12,7622,2002,15109.819106884708,0.9299202268394773,-0.03027414637733481,0.0,0.0
13,7625,2003,15095.07829171109,0.9290130166278207,-0.10113775198047842,0.0,0.0
14,7628,2004,15085.079813381972,0.9283976692718999,-0.14920349438352795,0.0,0.0
15,7631,2005,15071.56584724751,0.927565964380904,-0.21416926154141427,0.0,0.0
16,7634,2006,15049.53705037291,0.9262102218904267,-0.32006842351091286,0.0,0.0
17,7637,2007,15013.76439325705,0.9240086258829223,-0.49203852390071545,0.0,0.0
18,7640,2008,14970.387464683,0.9213390318279676,-0.7005646822266417,0.0,0.0
19,7643,2009,14931.67892650327,0.9189567496609813,-0.8866484605479303,0.0,0.0
20,7646,2010,14914.771410196889,0.9179161917768861,-0.9679280609738476,0.0,0.0
21,7649,2011,14915.647712311338,0.917970123002355,-0.9637154087767945,0.0,0.0
22,7652,2012,14921.959363631771,0.9183585679060372,-0.9333733710666821,0.0,0.0
23,7655,2013,14914.283123538618,0.9178861406136782,-0.9702754042357685,0.0,0.0
24,7658,2014,14903.3382608461,0.9172125488833103,-1.0228907056345153,0.0,0.02289070563451534
25,7661,2015,14898.97340177307,0.916943917557508,-1.043873917771797,0.0,0.0667646234063124
26,7664,2016,14903.172667501318,0.9172023575898439,-1.0236867634737088,0.0,0.09045138688002119
27,7667,2017,14917.65680226602,0.9180937706365976,-0.9540570990772975,0.0,0.04450848595731882
28,7670,2018,14930.74614053847,0.9188993421877453,-0.8911326478837864,0.0,0.0
29,7673,2019,14940.39959364529,0.9194934552766829,-0.844725547217158,0.0,0.0
30,7676,2020,16248.51107738402,1.0,5.443766315465131,4.443766315465131,0.0
31,7679,2021,16133.58262679108,0.9929268318773584,4.891270113628602,8.335036429093734,0.0
