,index,year,val,Received Array,Z Array,SH Array,SL Array
0,12098,1990,12505.39190525594,0.7639133920886281,-1.4818148371631836,0.0,0.0
1,12101,1991,12553.78194176144,0.7668693807701721,-1.4175641030402475,0.0,0.4175641030402475
2,12104,1992,12605.67031447285,0.7700390713411068,-1.3486683906186656,0.0,0.7662324936589131
3,12107,1993,12659.02674313308,0.7732984406368776,-1.277823440724729,0.0,1.0440559343836422
4,12110,1994,12714.88202040153,0.7767104564015542,-1.2036606000182488,0.0,1.2477165344018912
5,12113,1995,12775.08009738966,0.7803877595630718,-1.1237315295196808,0.0,1.371448063921572
6,12116,1996,12841.18026668264,0.7844256021932585,-1.0359658506853247,0.0,1.407413914606897
7,12119,1997,12911.27341720901,0.7887073629558518,-0.9428984197939106,0.0,1.3503123344008077
8,12122,1998,12984.365306512798,0.7931723068388785,-0.84584936000105,0.0,1.1961616944018578
9,12125,1999,13061.22489468744,0.7978674070933814,-0.7437976708264388,0.0,0.9399593652282965
10,12128,2000,13142.27376373652,0.8028184167817869,-0.636183589244887,0.0,0.5761429544731835
11,12131,2001,13228.52470418471,0.8080872039567749,-0.5216623645717023,0.0,0.09780531904488576
12,12134,2002,13319.78577112588,0.8136620433333286,-0.4004888550798008,0.0,0.0
13,12137,2003,13416.081979588507,0.8195444629975248,-0.2726298466189197,0.0,0.0
14,12140,2004,13518.267406651548,0.825786635717993,-0.1369513231129495,0.0,0.0
15,12143,2005,13626.66299445772,0.8324081667980108,0.0069728520928765475,0.0,0.0
16,12146,2006,13740.14341177831,0.8393403134422571,0.1576485003866424,0.0,0.0
17,12149,2007,13855.64169688688,0.8463957250140147,0.31100340862942516,0.0,0.0
18,12152,2008,13967.762658075138,0.8532448269401656,0.4598740147943148,0.0,0.0
19,12155,2009,14072.454166502828,0.8596400879549171,0.5988800325341911,0.0,0.0
20,12158,2010,14165.927705533928,0.8653500799977706,0.722991191308261,0.0,0.0
21,12161,2011,14254.52846631832,0.8707624099931216,0.8406324318475354,0.0,0.0
22,12164,2012,14343.31504512294,0.8761860910021171,0.9585203955776834,0.0,0.0
23,12167,2013,14428.71306799845,0.8814027762389127,1.0719091437299026,0.07190914372990265,0.0
24,12170,2014,14506.82891595502,0.8861746172847982,1.175628854238387,0.24753799796828968,0.0
25,12173,2015,14573.13970469075,0.8902253259662185,1.2636741867947567,0.5112121847630464,0.0
26,12176,2016,14631.914095405678,0.8938156608009159,1.3417129324492112,0.8529251172122576,0.0
27,12179,2017,14689.715181361353,0.8973465396388872,1.4184593553483342,1.2713844725605918,0.0
28,12182,2018,14746.39971260944,0.900809211810439,1.4937232528180158,1.7651077253786074,0.0
29,12185,2019,14802.3856866313,0.9042292114112872,1.5680596284701265,2.333167353848734,0.0
30,12188,2020,16370.16975322915,1.0,3.649712888097373,4.982880241946107,0.0
31,12191,2021,15687.59563694478,0.9583037850814146,2.7434129298487138,6.726293171794821,0.0
