,index,year,val,Received Array,Z Array,SH Array,SL Array
0,13250,1990,11030.47427388714,0.926212038336509,1.4008212516648142,0.0,0.0
1,13253,1991,11046.04257832613,0.9275192850268908,1.4878075389758338,0.9878075389758338,0.0
2,13256,1992,11056.31347637233,0.928381716612216,1.545195117172938,2.0330026561487715,0.0
3,13259,1993,11059.43412243044,0.92864375248435,1.5626314035502136,3.095634059698985,0.0
4,13262,1994,11042.34601097861,0.9272088899257572,1.4671533520914475,4.062787411790432,0.0
5,13265,1995,11013.68858716493,0.9248025699194835,1.3070329670347918,4.869820378825224,0.0
6,13268,1996,10991.59252452891,0.9229471973665764,1.1835735074365294,5.553393886261754,0.0
7,13271,1997,10969.44498228972,0.9210875021502006,1.0598264108917015,6.113220297153455,0.0
8,13274,1998,10941.86701405673,0.9187718223765098,0.9057373720005413,6.5189576691539965,0.0
9,13277,1999,10912.00388030862,0.9162642607528513,0.7388802076638455,6.757837876817842,0.0
10,13280,2000,10880.89532470214,0.913652122962349,0.5650643777884355,6.822902254606277,0.0
11,13283,2001,10844.3768304151,0.9105857209028607,0.36102107630580904,6.683923330912086,0.0
12,13286,2002,10801.42086263422,0.906978774049158,0.12100905895649748,6.304932389868584,0.0
13,13289,2003,10756.99144729378,0.903248104059565,-0.1272356939007822,5.677696695967802,0.0
14,13292,2004,10716.80653414141,0.8998738384208387,-0.35176473074861264,4.825931965219189,0.0
15,13295,2005,10684.201441100173,0.8971360386729741,-0.5339423084162387,3.79198965680295,0.03394230841623869
16,13298,2006,10654.81192037334,0.8946682456096627,-0.6981532090891935,2.5938364477137563,0.23209551750543223
17,13301,2007,10625.34252723842,0.8921937457825201,-0.862810388563119,1.2310260591506372,0.5949059060685511
18,13304,2008,10599.55036344938,0.8900280172741178,-1.00692143023232,0.0,1.101827336300871
19,13307,2009,10579.8207121457,0.888371348658072,-1.1171588118029092,0.0,1.71898614810378
20,13310,2010,10567.15721790879,0.8873080144334142,-1.1879147732096293,0.0,2.4069009213134094
21,13313,2011,10564.22834267126,0.8870620812635044,-1.2042795600050262,0.0,3.111180481318436
22,13316,2012,10570.90724578789,0.8876228985335424,-1.166961881146527,0.0,3.778142362464963
23,13319,2013,10584.13008121131,0.8887331997813416,-1.0930806588390267,0.0,4.371223021303989
24,13322,2014,10600.70543295994,0.8901250066926353,-1.0004675990714837,0.0,4.871690620375473
25,13325,2015,10617.05135131267,0.8914975484329125,-0.9091364746214783,0.0,5.280827094996951
26,13328,2016,10632.94971100563,0.892832509357692,-0.8203060377909732,0.0,5.601133132787925
27,13331,2017,10653.04604532543,0.8945199677852501,-0.7080198528765584,0.0,5.809152985664483
28,13334,2018,10679.92151147998,0.8967766595348676,-0.5578559715304166,0.0,5.8670089571949
29,13337,2019,10715.37840403418,0.8997539205220445,-0.359744259689089,0.0,5.7267532168839885
30,13340,2020,11195.90202277643,0.9401027531590708,2.3251316510721756,1.8251316510721756,2.901621565811813
31,13343,2021,11909.232246320227,1.0,6.3107903344552,7.635921985527375,0.0
